dbprimary_acc	display_label	description
IPR036961	Kinesin_motor_dom_sf	Kinesin motor domain superfamily
IPR027417	P-loop_NTPase	P-loop containing nucleoside triphosphate hydrolase
IPR033253	CFAP45	Cilia- and flagella-associated protein 45
IPR043597	TPH_dom	Trichohyalin-plectin-homology domain
IPR002781	TM_pro_TauE-like	Transmembrane protein TauE-like
IPR013105	TPR_2	Tetratricopeptide repeat 2
IPR001054	A/G_cyclase	Adenylyl cyclase class-3/4/guanylyl cyclase
IPR029787	Nucleotide_cyclase	Nucleotide cyclase
IPR023299	ATPase_P-typ_cyto_dom_N	P-type ATPase, cytoplasmic domain N
IPR036412	HAD-like_sf	HAD-like superfamily
IPR000253	FHA_dom	Forkhead-associated (FHA) domain
IPR011016	Znf_RING-CH	Zinc finger, RING-CH-type
IPR008984	SMAD_FHA_dom_sf	SMAD/FHA domain superfamily
IPR017441	Protein_kinase_ATP_BS	Protein kinase, ATP binding site
IPR011989	ARM-like	Armadillo-like helical
IPR000225	Armadillo	Armadillo
IPR016024	ARM-type_fold	Armadillo-type fold
IPR004143	BPL_LPL_catalytic	Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL), catalytic domain
IPR004408	Biotin_CoA_COase_ligase	Biotin--acetyl-CoA-carboxylase ligase
IPR000595	cNMP-bd_dom	Cyclic nucleotide-binding domain
IPR014710	RmlC-like_jellyroll	RmlC-like jelly roll fold
IPR005821	Ion_trans_dom	Ion transport domain
IPR018490	cNMP-bd-like	Cyclic nucleotide-binding-like
IPR003938	K_chnl_volt-dep_EAG/ELK/ERG	Potassium channel, voltage-dependent, EAG/ELK/ERG
IPR010926	Myosin_TH1	Class I myosin tail homology domain
IPR011701	MFS	Major facilitator superfamily
IPR036259	MFS_trans_sf	MFS transporter superfamily
IPR039741	UDP-sugar_pyrophosphorylase	UDP-sugar pyrophosphorylase
IPR029044	Nucleotide-diphossugar_trans	Nucleotide-diphospho-sugar transferases
IPR002618	UDPGP_fam	UDPGP family
IPR017920	COMM	COMM domain
IPR039731	Rce1	CAAX prenyl protease 2, eukaryotes
IPR003675	Rce1-like	Type II CAAX prenyl endopeptidase Rce1-like
IPR039564	Peptidase_C39-like	Peptidase C39-like
IPR022083	KBP	KIF-1 binding protein
IPR044215	PIG-H	Phosphatidylinositol N-acetylglucosaminyltransferase subunit H
IPR019328	GPI-GlcNAc_Trfase_PIG-H_dom	GPI-GlcNAc transferase complex, PIG-H component, conserved domain
IPR033867	Mrt4	Ribosome assembly factor Mrt4
IPR040637	RL10P_insert	60S ribosomal protein L10P, insertion domain
IPR001790	Ribosomal_L10P	Ribosomal protein L10P
IPR043164	RL10_insert_sf	50S ribosomal protein L10, insertion domain superfamily
IPR043141	Ribosomal_L10-like_sf	Ribosomal protein L10-like domain superfamily
IPR001594	Palmitoyltrfase_DHHC	Palmitoyltransferase, DHHC domain
IPR030509	CK1	Casein kinase I
IPR036691	Endo/exonu/phosph_ase_sf	Endonuclease/exonuclease/phosphatase superfamily
IPR006539	P-type_ATPase_IV	P-type ATPase, subfamily IV
IPR008250	ATPase_P-typ_transduc_dom_A_sf	P-type ATPase, A domain superfamily
IPR037315	EXO1_H3TH	Exonuclease-1, H3TH domain
IPR006084	XPG/Rad2	XPG/Rad2 endonuclease
IPR032641	Exo1	Exonuclease 1
IPR019974	XPG_CS	XPG conserved site
IPR006086	XPG-I_dom	XPG-I domain
IPR006085	XPG_DNA_repair_N	XPG, N-terminal
IPR008918	HhH2	Helix-hairpin-helix motif, class 2
IPR029060	PIN-like_dom_sf	PIN-like domain superfamily
IPR036279	5-3_exonuclease_C_sf	5'-3' exonuclease, C-terminal domain superfamily
IPR007379	Tim44-like_dom	Tim44-like domain
IPR032710	NTF2-like_dom_sf	NTF2-like domain superfamily
IPR001806	Small_GTPase	Small GTPase
IPR005225	Small_GTP-bd_dom	Small GTP-binding protein domain
IPR025533	DUF4419	Protein of unknown function DUF4419
IPR000192	Aminotrans_V_dom	Aminotransferase class V domain
IPR015421	PyrdxlP-dep_Trfase_major	Pyridoxal phosphate-dependent transferase, major domain
IPR015424	PyrdxlP-dep_Trfase	Pyridoxal phosphate-dependent transferase
IPR006214	Bax_inhibitor_1-related	Bax inhibitor 1-related
IPR011527	ABC1_TM_dom	ABC transporter type 1, transmembrane domain
IPR003439	ABC_transporter-like	ABC transporter-like
IPR039421	Type_I_exporter	Type I protein exporter
IPR017871	ABC_transporter_CS	ABC transporter, conserved site
IPR036640	ABC1_TM_sf	ABC transporter type 1, transmembrane domain superfamily
IPR003593	AAA+_ATPase	AAA+ ATPase domain
IPR004044	KH_dom_type_2	K Homology domain, type 2
IPR015946	KH_dom-like_a/b	K homology domain-like, alpha/beta
IPR005703	Ribosomal_S3_euk/arc	Ribosomal protein S3, eukaryotic/archaeal
IPR036419	Ribosomal_S3_C_sf	Ribosomal protein S3, C-terminal domain superfamily
IPR001351	Ribosomal_S3_C	Ribosomal protein S3, C-terminal
IPR009019	KH_sf_prok-type	K homology domain superfamily, prokaryotic type
IPR036811	Ubol_cytC_Rdtase_hinge_dom_sf	Ubiquinol-cytochrome C reductase hinge domain superfamily
IPR023184	Ubol_cytC_Rdtase_hinge_dom	Ubiquinol-cytochrome C reductase hinge domain
IPR029248	TMEM107	Transmembrane protein 107
IPR000195	Rab-GTPase-TBC_dom	Rab-GTPase-TBC domain
IPR035969	Rab-GTPase_TBC_sf	Rab-GTPase-TBC domain superfamily
IPR000702	Ribosomal_L6	Ribosomal protein L6
IPR002359	Ribosomal_L6_CS2	Ribosomal protein L6, conserved site-2
IPR020040	Ribosomal_L6_a/b-dom	Ribosomal protein L6, alpha-beta domain
IPR036789	Ribosomal_L6_a/b-dom_sf	Ribosomal protein L6, alpha-beta domain superfamily
IPR000560	His_Pase_clade-2	Histidine phosphatase superfamily, clade-2
IPR033379	Acid_Pase_AS	Histidine acid phosphatase active site
IPR029033	His_PPase_superfam	Histidine phosphatase superfamily
IPR002048	EF_hand_dom	EF-hand domain
IPR011992	EF-hand-dom_pair	EF-hand domain pair
IPR018247	EF_Hand_1_Ca_BS	EF-Hand 1, calcium-binding site
IPR038835	Giardin_beta-like	Giardin subunit beta-like
IPR015527	Pept_C26_g-glut_hydrolase	Peptidase C26, gamma-glutamyl hydrolase
IPR011697	Peptidase_C26	Peptidase C26
IPR029062	Class_I_gatase-like	Class I glutamine amidotransferase-like
IPR013099	K_chnl_dom	Potassium channel domain
IPR030445	H3-K79_meTrfase	Histone H3-K79 methyltransferase
IPR025789	DOT1_dom	Histone-lysine N-methyltransferase DOT1 domain
IPR029063	SAM-dependent_MTases	S-adenosyl-L-methionine-dependent methyltransferase
IPR029058	AB_hydrolase	Alpha/Beta hydrolase fold
IPR000073	AB_hydrolase_1	Alpha/beta hydrolase fold-1
IPR043601	Rspo_Fu-CRD_dom	R-spondin, Fu-CRD domain
IPR014001	Helicase_ATP-bd	Helicase superfamily 1/2, ATP-binding domain
IPR030101	HARP(SMARCAL1)	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1
IPR035929	CoaB-like_sf	CoaB-like superfamily
IPR023247	IC97/Casc1-like	Dynein-f, intermediate chain IC97/Casc1-like
IPR036852	Peptidase_S8/S53_dom_sf	Peptidase S8/S53 domain superfamily
IPR000209	Peptidase_S8/S53_dom	Peptidase S8/S53 domain
IPR001214	SET_dom	SET domain
IPR034732	EPHD	Extended PHD (ePHD) domain
IPR001487	Bromodomain	Bromodomain
IPR001781	Znf_LIM	Zinc finger, LIM-type
IPR019787	Znf_PHD-finger	Zinc finger, PHD-finger
IPR036427	Bromodomain-like_sf	Bromodomain-like superfamily
IPR001965	Znf_PHD	Zinc finger, PHD-type
IPR011011	Znf_FYVE_PHD	Zinc finger, FYVE/PHD-type
IPR020846	MFS_dom	Major facilitator superfamily domain
IPR000849	Sugar_P_transporter	Sugar phosphate transporter
IPR011044	Quino_amine_DH_bsu	Quinoprotein amine dehydrogenase, beta chain-like
IPR015919	Cadherin-like_sf	Cadherin-like superfamily
IPR032808	DoxX	DoxX family
IPR039750	DRC1/DRC2	Dynein regulatory complex protein
IPR039505	DRC1/2_N	Dynein regulatory complex protein 1/2, N-terminal
IPR029440	DRC1_C	Dynein regulatory complex protein 1, C-terminal
IPR009038	GOLD_dom	GOLD domain
IPR036598	GOLD_dom_sf	GOLD domain superfamily
IPR037221	H-type_lectin_dom_sf	H-type lectin domain superfamily
IPR019019	H-type_lectin_domain	H-type lectin domain
IPR001680	WD40_repeat	WD40 repeat
IPR010714	Coatomer_asu_C	Coatomer, alpha subunit, C-terminal
IPR016391	Coatomer_asu	Coatomer alpha subunit
IPR006692	Coatomer_WD-assoc_reg	Coatomer, WD associated region
IPR017986	WD40_repeat_dom	WD40-repeat-containing domain
IPR019775	WD40_repeat_CS	WD40 repeat, conserved site
IPR020472	G-protein_beta_WD-40_rep	G-protein beta WD-40 repeat
IPR039604	Bfr1	Nuclear segregation protein Bfr1
IPR006186	Ser/Thr-sp_prot-phosphatase	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase
IPR029052	Metallo-depent_PP-like	Metallo-dependent phosphatase-like
IPR004843	Calcineurin-like_PHP_ApaH	Calcineurin-like phosphoesterase domain, ApaH type
IPR006553	Leu-rich_rpt_Cys-con_subtyp	Leucine-rich repeat, cysteine-containing subtype
IPR027640	Kinesin-like_fam	Kinesin-like protein
IPR006689	Small_GTPase_ARF/SAR	Small GTPase superfamily, ARF/SAR type
IPR001683	PX_dom	Phox homology
IPR036871	PX_dom_sf	PX domain superfamily
IPR014752	Arrestin_C	Arrestin, C-terminal
IPR011021	Arrestin-like_N	Arrestin-like, N-terminal
IPR011022	Arrestin_C-like	Arrestin C-terminal-like domain
IPR014756	Ig_E-set	Immunoglobulin E-set
IPR021133	HEAT_type_2	HEAT, type 2
IPR044066	TRIAD_supradom	TRIAD supradomain
IPR031127	E3_UB_ligase_RBR	E3 ubiquitin ligase RBR family
IPR017907	Znf_RING_CS	Zinc finger, RING-type, conserved site
IPR002867	IBR_dom	IBR domain
IPR039790	CHORD_protein	CHORD domain containing protein
IPR031101	Ctr9	RNA polymerase-associated protein Ctr9
IPR023780	Chromo_domain	Chromo domain
IPR000953	Chromo/chromo_shadow_dom	Chromo/chromo shadow domain
IPR016197	Chromo-like_dom_sf	Chromo-like domain superfamily
IPR023779	Chromodomain_CS	Chromo domain, conserved site
IPR017984	Chromo_dom_subgr	Chromo domain subgroup
IPR028008	DUF4441	Protein of unknown function DUF4441
IPR000727	T_SNARE_dom	Target SNARE coiled-coil homology domain
IPR039766	Vps53	Vacuolar protein sorting-associated protein 53
IPR007234	Vps53_N	Vps53-like, N-terminal
IPR006626	PbH1	Parallel beta-helix repeat
IPR003960	ATPase_AAA_CS	ATPase, AAA-type, conserved site
IPR041569	AAA_lid_3	AAA ATPase, AAA+ lid domain
IPR003959	ATPase_AAA_core	ATPase, AAA-type, core
IPR000217	Tubulin	Tubulin
IPR013838	Beta-tubulin_BS	Beta tubulin, autoregulation binding site
IPR017975	Tubulin_CS	Tubulin, conserved site
IPR036525	Tubulin/FtsZ_GTPase_sf	Tubulin/FtsZ, GTPase domain superfamily
IPR003008	Tubulin_FtsZ_GTPase	Tubulin/FtsZ, GTPase domain
IPR023123	Tubulin_C	Tubulin, C-terminal
IPR018316	Tubulin/FtsZ_2-layer-sand-dom	Tubulin/FtsZ, 2-layer sandwich domain
IPR037103	Tubulin/FtsZ_C_sf	Tubulin/FtsZ, C-terminal domain superfamily
IPR008280	Tub_FtsZ_C	Tubulin/FtsZ, C-terminal
IPR002453	Beta_tubulin	Beta tubulin
IPR011047	Quinoprotein_ADH-like_supfam	Quinoprotein alcohol dehydrogenase-like superfamily
IPR037783	Taf5	Transcription initiation factor TFIID subunit 5
IPR014012	HSA_dom	Helicase/SANT-associated domain
IPR001650	Helicase_C	Helicase, C-terminal
IPR038718	SNF2-like_sf	SNF2-like, N-terminal domain superfamily
IPR000330	SNF2_dom	SNF2-related domain
IPR001884	IF5A-like	Translation elongation factor IF5A-like
IPR014722	Rib_L2_dom2	Ribosomal protein L2, domain 2
IPR020189	Transl_elong_IF5A_C	Translation elongation factor, IF5A C-terminal
IPR008991	Translation_prot_SH3-like_sf	Translation protein SH3-like domain superfamily
IPR012340	NA-bd_OB-fold	Nucleic acid-binding, OB-fold
IPR000408	Reg_chr_condens	Regulator of chromosome condensation, RCC1
IPR009091	RCC1/BLIP-II	Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II
IPR003395	RecF/RecN/SMC_N	RecF/RecN/SMC, N-terminal
IPR024704	SMC	Structural maintenance of chromosomes protein
IPR010935	SMC_hinge	SMCs flexible hinge
IPR036277	SMC_hinge_sf	SMCs flexible hinge superfamily
IPR019002	Ribosome_biogenesis_Nop16	Ribosome biogenesis protein Nop16
IPR002125	CMP_dCMP_dom	Cytidine and deoxycytidylate deaminase domain
IPR016193	Cytidine_deaminase-like	Cytidine deaminase-like
IPR004045	Glutathione_S-Trfase_N	Glutathione S-transferase, N-terminal
IPR010987	Glutathione-S-Trfase_C-like	Glutathione S-transferase, C-terminal-like
IPR040079	Glutathione_S-Trfase	Glutathione Transferase family
IPR036249	Thioredoxin-like_sf	Thioredoxin-like superfamily
IPR004046	GST_C	Glutathione S-transferase, C-terminal
IPR036282	Glutathione-S-Trfase_C_sf	Glutathione S-transferase, C-terminal domain superfamily
IPR009670	SerH	Cell surface immobilisation antigen SerH
IPR001878	Znf_CCHC	Zinc finger, CCHC-type
IPR036875	Znf_CCHC_sf	Zinc finger, CCHC-type superfamily
IPR042216	FeS-contain_mitoNEET_C	Iron sulphur domain-containing, mitoNEET, C-terminal
IPR000504	RRM_dom	RNA recognition motif domain
IPR012677	Nucleotide-bd_a/b_plait_sf	Nucleotide-binding alpha-beta plait domain superfamily
IPR035979	RBD_domain_sf	RNA-binding domain superfamily
IPR007848	Small_mtfrase_dom	Methyltransferase small domain
IPR038800	CCDC17	Coiled-coil domain-containing protein 17
IPR005467	His_kinase_dom	Histidine kinase domain
IPR001789	Sig_transdc_resp-reg_receiver	Signal transduction response regulator, receiver domain
IPR003661	HisK_dim/P	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain
IPR003594	HATPase_C	Histidine kinase/HSP90-like ATPase
IPR036890	HATPase_C_sf	Histidine kinase/HSP90-like ATPase superfamily
IPR036097	HisK_dim/P_sf	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain superfamily
IPR011006	CheY-like_superfamily	CheY-like superfamily
IPR004358	Sig_transdc_His_kin-like_C	Signal transduction histidine kinase-related protein, C-terminal
IPR008010	Tatp1	Tapt1 family
IPR013211	LVIVD	LVIVD
IPR013783	Ig-like_fold	Immunoglobulin-like fold
IPR008833	Surf2	Surfeit locus protein 2
IPR002035	VWF_A	von Willebrand factor, type A
IPR036465	vWFA_dom_sf	von Willebrand factor A-like domain superfamily
IPR000023	Phosphofructokinase_dom	Phosphofructokinase domain
IPR035966	PKF_sf	Phosphofructokinase superfamily
IPR022953	ATP_PFK	ATP-dependent 6-phosphofructokinase
IPR002675	Ribosomal_L38e	Ribosomal protein L38e
IPR038464	Ribosomal_L38e_sf	Ribosomal protein L38e superfamily
IPR004344	TTL/TTLL_fam	Tubulin-tyrosine ligase/Tubulin polyglutamylase
IPR037867	Swd2/WDR82	COMPASS component Swd2/WDR82
IPR000717	PCI_dom	Proteasome component (PCI) domain
IPR027512	EIF3A	Eukaryotic translation initiation factor 3 subunit A
IPR036390	WH_DNA-bd_sf	Winged helix DNA-binding domain superfamily
IPR002123	Plipid/glycerol_acylTrfase	Phospholipid/glycerol acyltransferase
IPR015422	PyrdxlP-dep_Trfase_dom1	Pyridoxal phosphate-dependent transferase domain 1
IPR022742	Hydrolase_4	Serine aminopeptidase, S33
IPR011641	Tyr-kin_ephrin_A/B_rcpt-like	Tyrosine-protein kinase ephrin type A/B receptor-like
IPR001279	Metallo-B-lactamas	Metallo-beta-lactamase
IPR036866	RibonucZ/Hydroxyglut_hydro	Ribonuclease Z/Hydroxyacylglutathione hydrolase-like
IPR035427	Tim10-like_dom_sf	Tim10-like domain superfamily
IPR003386	LACT/PDAT_acylTrfase	Lecithin:cholesterol/phospholipid:diacylglycerol acyltransferase
IPR002204	3-OH-isobutyrate_DH-rel_CS	3-hydroxyisobutyrate dehydrogenase-related, conserved site
IPR015815	HIBADH-related	3-hydroxyisobutyrate dehydrogenase-related
IPR029154	NADP-bd	3-hydroxyisobutyrate dehydrogenase, NAD-binding domain
IPR013328	6PGD_dom2	6-phosphogluconate dehydrogenase, domain 2
IPR011548	HIBADH	3-hydroxyisobutyrate dehydrogenase
IPR006115	6PGDH_NADP-bd	6-phosphogluconate dehydrogenase, NADP-binding
IPR036291	NAD(P)-bd_dom_sf	NAD(P)-binding domain superfamily
IPR008927	6-PGluconate_DH-like_C_sf	6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily
IPR001563	Peptidase_S10	Peptidase S10, serine carboxypeptidase
IPR000308	14-3-3	14-3-3 protein
IPR023410	14-3-3_domain	14-3-3 domain
IPR036815	14-3-3_dom_sf	14-3-3 domain superfamily
IPR020864	MACPF	Membrane attack complex component/perforin (MACPF) domain
IPR020845	AMP-binding_CS	AMP-binding, conserved site
IPR000873	AMP-dep_Synth/Lig	AMP-dependent synthetase/ligase
IPR000266	Ribosomal_S17/S11	Ribosomal protein S17/S11
IPR019979	Ribosomal_S17_CS	Ribosomal protein S17, conserved site
IPR028333	Ribosomal_S17_arc-typ	Ribosomal protein S17, archaeal/eukaryotic
IPR032440	Ribosomal_S11_N	40S ribosomal protein S11, N-terminal
IPR005828	MFS_sugar_transport-like	Major facilitator,  sugar transporter-like
IPR001715	CH-domain	Calponin homology domain
IPR010441	CH_2	CH-like domain in sperm protein
IPR036872	CH_dom_sf	CH domain superfamily
IPR006594	LisH	LIS1 homology motif
IPR007718	Srp40_C	Srp40, C-terminal
IPR001932	PPM-type_phosphatase_dom	PPM-type phosphatase domain
IPR039123	PPTC7	Protein phosphatase 2C
IPR036457	PPM-type_dom_sf	PPM-type phosphatase domain superfamily
IPR038791	Cfap97/Hemingway	Cilia- and flagella-associated protein 97
IPR029488	Hmw/CFAP97	Hemingway/CFA97
IPR039556	ICL/PEPM	ICL/PEPM domain
IPR006254	Isocitrate_lyase	Isocitrate lyase
IPR018523	Isocitrate_lyase_ph_CS	Isocitrate lyase/phosphorylmutase, conserved site
IPR040442	Pyrv_Kinase-like_dom_sf	Pyruvate kinase-like domain superfamily
IPR015813	Pyrv/PenolPyrv_Kinase-like_dom	Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily
IPR006977	Yip1	Yip1 domain
IPR007271	Nuc_sug_transpt	Nucleotide-sugar transporter
IPR038973	MutL/Mlh/Pms	DNA mismatch repair protein MutL/Mlh/Pms
IPR014762	DNA_mismatch_repair_CS	DNA mismatch repair, conserved site
IPR042120	MutL_C_dimsub	MutL, C-terminal domain, dimerisation subdomain
IPR013507	DNA_mismatch_S5_2-like	DNA mismatch repair protein,  S5 domain 2-like
IPR002099	DNA_mismatch_repair_N	DNA mismatch repair protein family, N-terminal
IPR042121	MutL_C_regsub	MutL, C-terminal domain, regulatory subdomain
IPR014721	Ribosomal_S5_D2-typ_fold_subgr	Ribosomal protein S5 domain 2-type fold, subgroup
IPR014790	MutL_C	MutL, C-terminal, dimerisation
IPR020568	Ribosomal_S5_D2-typ_fold	Ribosomal protein S5 domain 2-type fold
IPR037198	MutL_C_sf	MutL, C-terminal domain superfamily
IPR001180	CNH_dom	Citron homology (CNH) domain
IPR032914	Vam6/VPS39/TRAP1	Vam6/VPS39/TRAP1 family
IPR019453	VPS39/TGF_beta_rcpt-assoc_2	Vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 2
IPR044492	P_typ_ATPase_HD_dom	P-type ATPase, haloacid dehalogenase domain
IPR018303	ATPase_P-typ_P_site	P-type ATPase, phosphorylation site
IPR032631	P-type_ATPase_N	P-type ATPase, N-terminal
IPR023214	HAD_sf	HAD superfamily
IPR001757	P_typ_ATPase	P-type ATPase
IPR032630	P_typ_ATPase_c	P-type ATPase, C-terminal
IPR023298	ATPase_P-typ_TM_dom_sf	P-type ATPase, transmembrane domain superfamily
IPR000608	UBQ-conjugat_E2	Ubiquitin-conjugating enzyme E2
IPR023313	UBQ-conjugating_AS	Ubiquitin-conjugating enzyme, active site
IPR016135	UBQ-conjugating_enzyme/RWD	Ubiquitin-conjugating enzyme/RWD-like
IPR001736	PLipase_D/transphosphatidylase	Phospholipase D/Transphosphatidylase
IPR025202	PLD-like_dom	Phospholipase D-like domain
IPR001721	TD_ACT-like	Threonine dehydratase, ACT-like domain
IPR000634	Ser/Thr_deHydtase_PyrdxlP-BS	Serine/threonine dehydratase, pyridoxal-phosphate-binding site
IPR036052	Trypto_synt_PLP_dependent	Tryptophan synthase beta subunit-like PLP-dependent enzyme
IPR011820	IlvA	L-threonine dehydratase biosynthetic IlvA
IPR001926	PLP-dep	Pyridoxal-phosphate dependent enzyme
IPR019336	Intimal_thickness-rel_rcpt	Intimal thickness related receptor, IRP
IPR011256	Reg_factor_effector_dom_sf	Regulatory factor, effector binding domain superfamily
IPR041753	PP5_C	PP5, C-terminal metallophosphatase domain
IPR011236	Ser/Thr_PPase_5	Serine/threonine protein phosphatase 5
IPR013235	PPP_dom	PPP domain
IPR003663	Sugar/inositol_transpt	Sugar/inositol transporter
IPR002498	PInositol-4-P-5-kinase_core	Phosphatidylinositol-4-phosphate 5-kinase, core
IPR023610	PInositol-4-P-5-kinase	Phosphatidylinositol-4-phosphate 5-kinase
IPR027484	PInositol-4-P-5-kinase_N	Phosphatidylinositol-4-phosphate 5-kinase, N-terminal
IPR027483	PInositol-4-P-5-kinase_C	Phosphatidylinositol-4-phosphate 5-kinase, C-terminal
IPR028934	Vps26-related	Vacuolar protein sorting protein 26 related
IPR000048	IQ_motif_EF-hand-BS	IQ motif, EF-hand binding site
IPR004567	Type_II_PanK	Type II pantothenate kinase
IPR043129	ATPase_NBD	ATPase, nucleotide binding domain
IPR027752	TTLL10	Protein polyglycylase TTLL10
IPR003819	TauD/TfdA-like	TauD/TfdA-like domain
IPR042098	TauD-like_sf	Taurine dioxygenase TauD-like superfamily
IPR013087	Znf_C2H2_type	Zinc finger C2H2-type
IPR036236	Znf_C2H2_sf	Zinc finger C2H2 superfamily
IPR043533	CNBD1/2	Cyclic nucleotide-binding domain-containing protein 1/2
IPR037671	PIGN_N	GPI ethanolamine phosphate transferase 1, N-terminal
IPR007070	GPI_EtnP_transferase_1	GPI ethanolamine phosphate transferase 1
IPR017850	Alkaline_phosphatase_core_sf	Alkaline-phosphatase-like, core domain superfamily
IPR017852	GPI_EtnP_transferase_1_C	GPI ethanolamine phosphate transferase 1, C-terminal
IPR002350	Kazal_dom	Kazal domain
IPR028889	USP_dom	Ubiquitin specific protease domain
IPR018200	USP_CS	Ubiquitin specific protease, conserved site
IPR001394	Peptidase_C19_UCH	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
IPR038765	Papain-like_cys_pep_sf	Papain-like cysteine peptidase superfamily
IPR012999	Pyr_OxRdtase_I_AS	Pyridine nucleotide-disulphide oxidoreductase, class I, active site
IPR001100	Pyr_nuc-diS_OxRdtase	Pyridine nucleotide-disulphide oxidoreductase, class I
IPR023753	FAD/NAD-binding_dom	FAD/NAD(P)-binding domain
IPR036188	FAD/NAD-bd_sf	FAD/NAD(P)-binding domain superfamily
IPR016156	FAD/NAD-linked_Rdtase_dimer_sf	FAD/NAD-linked reductase, dimerisation domain superfamily
IPR004099	Pyr_nucl-diS_OxRdtase_dimer	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
IPR006338	Thioredoxin/glutathione_Rdtase	Thioredoxin/glutathione reductase selenoprotein
IPR000008	C2_dom	C2 domain
IPR037724	C2E_Ferlin	Ferlin, fifth C2 domain
IPR037721	Ferlin	Ferlin  family
IPR035892	C2_domain_sf	C2 domain superfamily
IPR012968	FerIin_dom	FerIin domain
IPR001251	CRAL-TRIO_dom	CRAL-TRIO lipid binding domain
IPR036865	CRAL-TRIO_dom_sf	CRAL-TRIO lipid binding domain superfamily
IPR000961	AGC-kinase_C	AGC-kinase, C-terminal
IPR002937	Amino_oxidase	Amine oxidase
IPR006615	Pept_C19_DUSP	Peptidase C19, ubiquitin-specific peptidase, DUSP domain
IPR035927	DUSP-like_sf	DUSP-like superfamily
IPR003889	FYrich_C	FY-rich, C-terminal
IPR003888	FYrich_N	FY-rich, N-terminal
IPR001005	SANT/Myb	SANT/Myb domain
IPR040092	TBRG1	Transforming growth factor beta regulator 1
IPR010760	DNA-repair_Swi5	DNA repair protein, Swi5
IPR006652	Kelch_1	Kelch repeat type 1
IPR033010	Cdc20/Fizzy	The WD repeat Cdc20/Fizzy family
IPR024977	Apc4_WD40_dom	Anaphase-promoting complex subunit 4, WD40 domain
IPR005135	Endo/exonuclease/phosphatase	Endonuclease/exonuclease/phosphatase
IPR000938	CAP-Gly_domain	CAP Gly-rich domain
IPR036859	CAP-Gly_dom_sf	CAP Gly-rich domain superfamily
IPR034157	TOPRIM_TopoII	DNA topoisomerase 2, TOPRIM domain
